device_id,study_id,technology_family,conductance_mode,state_count_status,reported_conductance_states,mapping_strategy,precision_basis,parameter_source,crossbar_size,requested_weight_bits,effective_weight_levels,effective_conductance_levels,slices_per_branch,physical_cells_per_weight,adc_bits,accuracy,accuracy_loss,network_weight_count,estimated_memristor_cells,base_crossbar_tiles,estimated_physical_crossbar_tiles,adc_levels,relative_hardware_cost_proxy
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,16,6,63,63,5.0,10,5,96.24,-0.0099999999999909,101632,1016320,400,4000,32,128000
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,256,8,255,255,7.0,14,7,96.24,-0.0099999999999909,101632,1422848,5,70,128,8960
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,128,6,63,63,5.0,10,9,96.24,-0.0099999999999909,101632,1016320,8,80,512,40960
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,16,7,127,127,6.0,12,7,96.24,-0.0099999999999909,101632,1219584,400,4800,128,614400
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,32,8,255,255,7.0,14,9,96.23,0.0,101632,1422848,104,1456,512,745472
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,64,8,255,255,7.0,14,5,96.23,0.0,101632,1422848,28,392,32,12544
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,128,8,255,255,7.0,14,8,96.23,0.0,101632,1422848,8,112,256,28672
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,64,8,255,255,7.0,14,7,96.23,0.0,101632,1422848,28,392,128,50176
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,64,5,31,31,4.0,8,7,96.23,0.0,101632,813056,28,224,128,28672
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,16,7,127,127,6.0,12,8,96.22,0.0100000000000051,101632,1219584,400,4800,256,1228800
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,16,7,127,127,6.0,12,9,96.22,0.0100000000000051,101632,1219584,400,4800,512,2457600
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,32,7,127,127,6.0,12,10,96.22,0.0100000000000051,101632,1219584,104,1248,1024,1277952
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,32,7,127,127,6.0,12,6,96.22,0.0100000000000051,101632,1219584,104,1248,64,79872
ZnO_01,10.3390/electronics7120445,ZnO,DISCRETE_BINARY,REPORTED,2.0,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,normalized_from_ratio,256,8,255,255,7.0,14,6,96.22,0.0100000000000051,101632,1422848,5,70,64,4480
