device_on_off_ratio,device_log10_on_off_ratio,state_count_available,physical_state_count,device_conductance_mode,mapping_strategy,precision_basis,crossbar_size,requested_weight_bits,effective_weight_levels,slices_per_branch,physical_cells_per_weight,adc_bits,estimated_memristor_cells,estimated_physical_crossbar_tiles,adc_levels,relative_hardware_cost_proxy,predicted_accuracy,tree_disagreement,candidate_on_off_ratio,candidate_mode,candidate_state_count,historical_mean_abs_error_pp,historical_median_abs_error_pp,historical_max_abs_error_pp,historical_validation_rows,validation_adjusted_score,nearest_known_device,nearest_known_family,descriptor_distance_to_nearest_known,numeric_descriptor_distance,categorical_mismatch_fraction,accuracy_margin_pp,passes_accuracy,passes_cost,passes_distance,feasible
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,6,63,0,2,5,203264,800,32,25600,57.77027476190476,2.878463165484944,1.10723,ANALOG,0,7.01237709210456,0.8314496984126905,66.34385122222221,50,50.7578976698002,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,-44.7421023301998,False,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,6,63,0,2,6,203264,800,64,51200,92.09532945238095,0.9953297714706102,1.10723,ANALOG,0,2.034615817186146,0.17045995634919103,36.00001183333333,50,90.0607136351948,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,-5.439286364805199,False,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,6,63,0,2,7,203264,800,128,102400,94.63013848412699,0.36759623541188985,1.10723,ANALOG,0,0.8451837421933613,0.05234217063491535,20.136902658730165,50,93.78495474193363,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,-1.7150452580663682,False,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,6,63,0,2,8,203264,800,256,204800,95.90060892857143,0.1310392958274232,1.10723,ANALOG,0,0.21888017979797975,0.0429856468253859,3.415293729437224,50,95.68172874877345,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,0.1817287487734518,True,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,6,63,0,2,9,203264,800,512,409600,96.1051140952381,0.05267120990523432,1.10723,ANALOG,0,0.06404480457431613,0.02445925793650615,0.5736801825396753,50,96.04106929066377,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,0.5410692906637706,True,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,6,63,0,2,10,203264,800,1024,819200,96.23110361111112,0.044484221706752626,1.10723,ANALOG,0,0.02638976379509553,0.0152372420634918,0.1051215252525281,50,96.20471384731603,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,0.7047138473160288,True,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,7,127,0,2,4,203264,800,16,12800,8.92,1.0874285797433868e-15,1.10723,ANALOG,0,13.927371091370853,10.174159861111118,70.80504147619047,50,-5.007371091370853,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,-100.50737109137086,False,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,7,127,0,2,5,203264,800,32,25600,57.31580880952381,2.454810466251371,1.10723,ANALOG,0,6.944436995710955,0.855000000000004,66.56627312698411,50,50.37137181381286,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,-45.12862818618714,False,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,7,127,0,2,6,203264,800,64,51200,92.16727161904763,0.8485481905996131,1.10723,ANALOG,0,2.017503891731603,0.166613761904756,35.59298890476191,50,90.14976772731602,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,-5.350232272683982,False,False,True,False
1.10723,0.04423784432542615,0,0,ANALOG,IDEALIZED_SINGLE_PAIR_ANALOG,IDEALIZED_ANALOG_MAPPING,16,7,127,0,2,7,203264,800,128,102400,94.67053400793651,0.35822609922633464,1.10723,ANALOG,0,0.8531577695038272,0.0404068968253952,20.48204308802308,50,93.81737623843269,HfZrOx_01,HfZrOx,0.12809612567312673,0.12809612567312673,0.0,-1.6826237615673136,False,False,True,False
