seed,method,held_out_device,held_out_study,training_devices,training_rows,candidate_mae_pp,candidate_rmse_pp,regret_pp,success_le_0_5pp
84,RANDOM_FOREST,TiOx_02_Pt,10.1038/s41598-019-44607-3,7,1715,2.7725812944776456,7.401740543494252,0.03999999999999204,1
84,EXTRA_TREES,TiOx_02_Pt,10.1038/s41598-019-44607-3,7,1715,1.0462146888241035,2.753415116484222,0.03999999999999204,1
84,GRADIENT_BOOSTING,TiOx_02_Pt,10.1038/s41598-019-44607-3,7,1715,2.9353668853497927,6.430375938898669,0.2599999999999909,1
84,RANDOM_FOREST,TiOx_03,10.1016/j.spmi.2017.10.031,9,2205,0.1792900317374184,0.3388687687982606,0.04999999999999716,1
84,EXTRA_TREES,TiOx_03,10.1016/j.spmi.2017.10.031,9,2205,0.17971537434402746,0.39507738755136146,0.04999999999999716,1
84,GRADIENT_BOOSTING,TiOx_03,10.1016/j.spmi.2017.10.031,9,2205,0.7804664473659869,1.1836811486000502,0.14000000000000057,1
84,RANDOM_FOREST,TiOx_04,10.1007/s42835-019-00107-y,9,2205,0.19135412926687675,0.5251895572152004,0.04999999999999716,1
84,EXTRA_TREES,TiOx_04,10.1007/s42835-019-00107-y,9,2205,0.3536282625850445,1.1346054344901155,0.04999999999999716,1
84,GRADIENT_BOOSTING,TiOx_04,10.1007/s42835-019-00107-y,9,2205,0.7452899840344247,1.0789884869051758,0.0899999999999892,1
84,RANDOM_FOREST,ZnO_01,10.3390/electronics7120445,9,2205,1.2904764792882946,4.30874837218155,0.060000000000002274,1
84,EXTRA_TREES,ZnO_01,10.3390/electronics7120445,9,2205,1.330216941302259,4.407944786949941,0.04999999999999716,1
84,GRADIENT_BOOSTING,ZnO_01,10.3390/electronics7120445,9,2205,1.871664482417875,4.385797064749917,0.04999999999999716,1
123,RANDOM_FOREST,HfOx_01,10.1109/TNANO.2024.3485213,9,2205,0.3777964410969954,1.2459393401339012,0.01999999999999602,1
123,EXTRA_TREES,HfOx_01,10.1109/TNANO.2024.3485213,9,2205,0.46514047346940135,1.4410850180574617,0.04999999999999716,1
123,GRADIENT_BOOSTING,HfOx_01,10.1109/TNANO.2024.3485213,9,2205,0.8739501289663368,1.365528287356002,0.12999999999999545,1
123,RANDOM_FOREST,HfOx_02,10.1088/2634-4386/ac7327,9,2205,2.9131726511381992,7.165682240808577,0.0,1
123,EXTRA_TREES,HfOx_02,10.1088/2634-4386/ac7327,9,2205,2.9929676169096266,7.673430012843204,0.0,1
123,GRADIENT_BOOSTING,HfOx_02,10.1088/2634-4386/ac7327,9,2205,2.425140392505148,4.536242251055016,0.04999999999999716,1
123,RANDOM_FOREST,HfZrOx_01,10.1002/pssr.202000524,9,2205,2.7571531704656005,7.295944354053284,0.0,1
123,EXTRA_TREES,HfZrOx_01,10.1002/pssr.202000524,9,2205,3.8161349329446024,10.095177149087672,0.0,1
123,GRADIENT_BOOSTING,HfZrOx_01,10.1002/pssr.202000524,9,2205,3.5194725400677003,8.381209177805385,0.1700000000000017,1
123,RANDOM_FOREST,TaOx_01,10.1038/s41598-017-18329-3,9,2205,0.6669224546455805,2.2419715979553914,0.10000000000000853,1
123,EXTRA_TREES,TaOx_01,10.1038/s41598-017-18329-3,9,2205,0.7238548789115572,2.420003235548598,0.04999999999999716,1
123,GRADIENT_BOOSTING,TaOx_01,10.1038/s41598-017-18329-3,9,2205,0.9249310341843597,1.5471429695571142,0.28000000000000114,1
123,RANDOM_FOREST,TiOx_02_Au,10.1038/s41598-019-44607-3,7,1715,2.6423505482250045,6.068331254878841,0.04999999999999716,1
123,EXTRA_TREES,TiOx_02_Au,10.1038/s41598-019-44607-3,7,1715,2.0686547661807744,4.960689421485871,0.04999999999999716,1
123,GRADIENT_BOOSTING,TiOx_02_Au,10.1038/s41598-019-44607-3,7,1715,2.787137771217675,5.987918747509568,0.23999999999999488,1
123,RANDOM_FOREST,TiOx_02_Ni,10.1038/s41598-019-44607-3,7,1715,15.837779208981031,26.906961482090814,0.060000000000002274,1
123,EXTRA_TREES,TiOx_02_Ni,10.1038/s41598-019-44607-3,7,1715,17.601499744217687,29.748808071612586,0.060000000000002274,1
123,GRADIENT_BOOSTING,TiOx_02_Ni,10.1038/s41598-019-44607-3,7,1715,16.221000585619944,27.05468417057265,3.680000000000007,0
123,RANDOM_FOREST,TiOx_02_Pt,10.1038/s41598-019-44607-3,7,1715,2.76275340256706,7.387642871823308,0.03999999999999204,1
123,EXTRA_TREES,TiOx_02_Pt,10.1038/s41598-019-44607-3,7,1715,1.1088644991253755,2.919039318546499,0.03999999999999204,1
123,GRADIENT_BOOSTING,TiOx_02_Pt,10.1038/s41598-019-44607-3,7,1715,2.9353668853497967,6.430375938898667,0.2599999999999909,1
123,RANDOM_FOREST,TiOx_03,10.1016/j.spmi.2017.10.031,9,2205,0.17887064159671853,0.33484836853925654,0.04999999999999716,1
123,EXTRA_TREES,TiOx_03,10.1016/j.spmi.2017.10.031,9,2205,0.17091054130223945,0.3658916333129786,0.04999999999999716,1
123,GRADIENT_BOOSTING,TiOx_03,10.1016/j.spmi.2017.10.031,9,2205,0.7804664473659864,1.1836811486000487,0.14000000000000057,1
123,RANDOM_FOREST,TiOx_04,10.1007/s42835-019-00107-y,9,2205,0.20099228331713442,0.5621375714589772,0.04999999999999716,1
123,EXTRA_TREES,TiOx_04,10.1007/s42835-019-00107-y,9,2205,0.35676575937806115,1.1238575861868807,0.04999999999999716,1
123,GRADIENT_BOOSTING,TiOx_04,10.1007/s42835-019-00107-y,9,2205,0.7452899840344256,1.0789884869051747,0.0899999999999892,1
123,RANDOM_FOREST,ZnO_01,10.3390/electronics7120445,9,2205,1.292293131187865,4.312130956921504,0.060000000000002274,1
123,EXTRA_TREES,ZnO_01,10.3390/electronics7120445,9,2205,1.3312520781341237,4.401049769040362,0.04999999999999716,1
123,GRADIENT_BOOSTING,ZnO_01,10.3390/electronics7120445,9,2205,1.8838248243702103,4.414332617051888,0.04999999999999716,1
