held_out_device,held_out_study,held_out_family,method,row_position,crossbar_size,requested_weight_bits,adc_bits,mapping_strategy,cost_proxy,actual_accuracy,predicted_accuracy,is_true_pareto,is_predicted_pareto
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,224,16,2,10,IDEALIZED_SINGLE_PAIR_ANALOG,819200.0,11.24,11.302502466089456,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,225,128,2,9,IDEALIZED_SINGLE_PAIR_ANALOG,8192.0,11.24,11.344726452380954,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,226,256,2,10,IDEALIZED_SINGLE_PAIR_ANALOG,10240.0,11.22,11.253107116883116,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,227,64,2,7,IDEALIZED_SINGLE_PAIR_ANALOG,7168.0,11.18,11.045791046897545,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,228,64,2,9,IDEALIZED_SINGLE_PAIR_ANALOG,28672.0,11.18,11.275253665223675,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,229,128,2,10,IDEALIZED_SINGLE_PAIR_ANALOG,16384.0,11.15,11.269102402597404,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,230,128,2,8,IDEALIZED_SINGLE_PAIR_ANALOG,4096.0,11.14,11.271931158730165,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,231,32,2,6,IDEALIZED_SINGLE_PAIR_ANALOG,13312.0,11.09,10.942495008658007,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,232,64,2,8,IDEALIZED_SINGLE_PAIR_ANALOG,14336.0,11.07,11.170129284271285,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,233,128,2,7,IDEALIZED_SINGLE_PAIR_ANALOG,2048.0,11.04,10.959919777777776,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,234,32,2,5,IDEALIZED_SINGLE_PAIR_ANALOG,6656.0,11.02,10.54766217460316,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,235,256,2,7,IDEALIZED_SINGLE_PAIR_ANALOG,1280.0,10.89,10.904744555555558,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,236,128,2,6,IDEALIZED_SINGLE_PAIR_ANALOG,1024.0,10.71,10.68595786507936,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,237,16,2,5,IDEALIZED_SINGLE_PAIR_ANALOG,25600.0,10.69,10.590100317460305,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,238,256,2,6,IDEALIZED_SINGLE_PAIR_ANALOG,640.0,10.49,10.57221097619048,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,239,16,2,4,IDEALIZED_SINGLE_PAIR_ANALOG,12800.0,10.17,10.653124317460318,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,240,32,2,4,IDEALIZED_SINGLE_PAIR_ANALOG,3328.0,10.1,10.565841460317458,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,241,128,2,5,IDEALIZED_SINGLE_PAIR_ANALOG,512.0,9.83,10.070342174603168,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,242,256,2,5,IDEALIZED_SINGLE_PAIR_ANALOG,320.0,9.7,9.95331274603175,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,243,128,2,4,IDEALIZED_SINGLE_PAIR_ANALOG,256.0,9.43,9.828309325396823,False,False
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,FULL_DEVICE_AWARE,244,256,2,4,IDEALIZED_SINGLE_PAIR_ANALOG,160.0,9.42,9.541526087301586,False,False
TaOx_01,10.1038/s41598-017-18329-3,TaOx,HARDWARE_ONLY,0,64,8,9,SINGLE_DIFFERENTIAL_PAIR,28672.0,96.17,96.19111272619665,True,False
TaOx_01,10.1038/s41598-017-18329-3,TaOx,HARDWARE_ONLY,1,64,7,9,SINGLE_DIFFERENTIAL_PAIR,28672.0,96.17,96.20321584503232,True,False
TaOx_01,10.1038/s41598-017-18329-3,TaOx,HARDWARE_ONLY,2,64,6,9,SINGLE_DIFFERENTIAL_PAIR,28672.0,96.17,96.21552851346631,True,False
TaOx_01,10.1038/s41598-017-18329-3,TaOx,HARDWARE_ONLY,3,64,5,9,SINGLE_DIFFERENTIAL_PAIR,28672.0,96.17,96.12686805367024,True,False
TaOx_01,10.1038/s41598-017-18329-3,TaOx,HARDWARE_ONLY,4,64,4,9,SINGLE_DIFFERENTIAL_PAIR,28672.0,96.17,96.04897518730786,True,False
TaOx_01,10.1038/s41598-017-18329-3,TaOx,HARDWARE_ONLY,5,32,7,7,SINGLE_DIFFERENTIAL_PAIR,26624.0,96.13,95.90214301547633,True,False
TaOx_01,10.1038/s41598-017-18329-3,TaOx,HARDWARE_ONLY,6,32,6,7,SINGLE_DIFFERENTIAL_PAIR,26624.0,96.13,95.93151601188025,True,False
