device_on_off_ratio,device_log10_on_off_ratio,state_count_available,physical_state_count,device_conductance_mode,mapping_strategy,precision_basis,crossbar_size,requested_weight_bits,effective_weight_levels,slices_per_branch,physical_cells_per_weight,adc_bits,estimated_memristor_cells,estimated_physical_crossbar_tiles,adc_levels,relative_hardware_cost_proxy,predicted_accuracy,tree_disagreement,historical_mean_abs_error_pp,historical_median_abs_error_pp,historical_max_abs_error_pp,historical_validation_rows,validation_adjusted_score,custom_device_name,input_on_off_ratio,input_fixed_state_count,descriptor_distance_to_nearest_known,nearest_known_device
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,5,31,0,2,8,203264,800,256,204800,96.15695121428571,0.025731324745137982,0.22662615883117035,0.03160561507935705,3.95275866017316,50,95.93032505545455,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,5,31,0,2,9,203264,800,512,409600,96.15499072222222,0.017467681441046837,0.05043705829726089,0.01940974747475365,0.5000176839826906,50,96.10455366392496,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,5,31,0,2,10,203264,800,1024,819200,96.12729657142859,0.01452829082658063,0.02111627759018911,0.0175044087301685,0.0817694603174743,50,96.10618029383839,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,6,63,0,2,4,203264,800,16,12800,95.29173109523809,0.06835724219717207,13.969023790101014,10.321569785714296,70.71995749999999,50,81.32270730513707,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,6,63,0,2,5,203264,800,32,25600,96.14555530158731,0.08062398208732535,7.01237709210456,0.8314496984126905,66.34385122222221,50,89.13317820948275,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,6,63,0,2,6,203264,800,64,51200,96.19901341991341,0.035544319161731716,2.034615817186146,0.17045995634919103,36.00001183333333,50,94.16439760272726,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,6,63,0,2,7,203264,800,128,102400,96.24008539682539,0.020629249405105334,0.8451837421933613,0.05234217063491535,20.136902658730165,50,95.39490165463204,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,6,63,0,2,8,203264,800,256,204800,96.27982999206348,0.025798686995964982,0.21888017979797975,0.0429856468253859,3.415293729437224,50,96.0609498122655,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,6,63,0,2,9,203264,800,512,409600,96.28545530952381,0.016827043140630486,0.06404480457431613,0.02445925793650615,0.5736801825396753,50,96.22141050494949,TestGradual,50.0,0,0.020908117274374895,HfOx_01
50.0,1.6989700043360187,0,0,GRADUAL_MULTILEVEL,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,16,6,63,0,2,10,203264,800,1024,819200,96.29472887301586,0.010470621740151466,0.02638976379509553,0.0152372420634918,0.1051215252525281,50,96.26833910922076,TestGradual,50.0,0,0.020908117274374895,HfOx_01
